Pitcher,Primary,Secondary,Chase Rate,xChase Rate
Hendricks Kyle, SI, CU,20.4,20.410099
Hendriks Liam, FF, SL,34.6,34.7369
Hendriks Liam, FF, CU,34.5,34.732834
Hentges Sam, FF, SI,38.6,38.477596
Hentges Sam, FF, SL,32.9,32.97475
Hentges Sam, FF, CU,21.4,21.18239
Herget Jimmy, SI, SL,25.8,25.515593
Herget Jimmy, SI, CU,31.1,30.893093
Hernandez Elieser, FF, SL,35.8,35.806957
Hernandez Elieser, FF, CH,19.5,20.308247
Hernandez Elieser, FF, SI,7.1,7.397066
Hernández Carlos, FF, KC,32.5,32.481125
Hernández Carlos, FF, SL,36.7,36.668
Hernández Carlos, FF, FS,17.9,17.928375
Hernández Jonathan, SI, SL,27.3,27.5725
Hicks Jordan, SI, SL,25.7,25.57381
Hill Garrett, FF, SI,30.2,30.159046
Hill Garrett, FF, SL,27.7,28.34159
Hill Garrett, FF, CH,31.8,32.020596
Hill Garrett, FF, KC,20.0,19.705921
Hill Rich, CU, FF,19.9,19.91292
Hill Rich, CU, SL,29.0,28.93301
Hill Rich, CU, FC,14.0,14.04043
Hill Tim, SI, FF,35.7,35.66595
Hill Tim, SI, SL,10.0,10.363226
Hjelle Sean, SI, KC,30.0,30.110308
Hoffman Jeff, FF, CH,33.1,33.190887
Hoffman Jeff, FF, SL,18.8,19.294706
Holderman Colin, SI, FC,28.4,28.376143
Holmes Clay, SI, SL,43.2,43.100327
Houck Tanner, SL, SI,36.4,36.357704
Houck Tanner, SL, FF,22.2,22.427137
Houck Tanner, SL, FS,30.3,30.524248
Houser Adrian, SI, FF,14.0,14.542873
Houser Adrian, SI, SL,19.2,19.777308
Houser Adrian, SI, CU,20.2,20.124023
Houser Adrian, SI, CH,34.4,34.561604
Howard Spencer, FF, FC,31.7,31.86043
Howard Spencer, FF, CU,23.7,23.87277
Hudson Dakota, SI, SL,28.1,27.9017
Hudson Dakota, SI, FF,17.4,19.135412
Hudson Dakota, SI, CU,24.0,23.982103
Hudson Dakota, SI, CH,24.6,24.489174
Hudson Daniel, FF, SL,29.4,29.976152
Hughes Brandon, FF, SL,42.9,42.3103
Hunter Tommy, FC, SI,36.4,36.372257
Hutchison Drew, FF, SL,32.0,31.759392
Hutchison Drew, FF, SI,32.2,32.40437
Hutchison Drew, FF, CH,21.7,22.01571
Iglesias Raisel, SL, FF,28.4,27.948477
Iglesias Raisel, SL, CH,49.3,49.60858
Iglesias Raisel, SL, SI,37.2,37.252827
Irvin Cole, FF, SI,30.4,30.135166
Irvin Cole, FF, CH,38.4,38.228413
Irvin Cole, FF, CU,31.5,31.163061
Irvin Cole, FF, SL,14.3,15.091898
Jackson Zach, FF, SL,28.4,28.370104
Jansen Kenley, FC, SI,32.9,32.728195
Jansen Kenley, FC, SL,27.1,26.88123
Javier Cristian, FF, SL,23.5,24.060085
Javier Cristian, FF, KC,18.8,18.772064
Javier Cristian, FF, CH,18.7,18.710129
Jax Griffin, SL, FF,24.8,24.628574
Jax Griffin, SL, CH,34.5,34.74574
Jefferies Daulton, SI, CH,44.1,43.985085
Jefferies Daulton, SI, FC,29.4,29.455015
Jefferies Daulton, SI, CU,22.2,23.28973
Jefferies Daulton, SI, FF,16.1,15.912732
Jiménez Dany, SL, FF,16.0,16.164528
Jiménez Joe, FF, SL,38.9,38.89647
Johnson Pierce, CU, FF,23.3,23.337893
Junis Jakob, SL, SI,18.2,19.00161
Junis Jakob, SL, CH,22.4,22.379522
Junk Janson, SL, FF,23.3,23.411465
Kaprielian James, FF, SL,38.0,37.874146
Kaprielian James, FF, CU,18.1,18.487892
Kaprielian James, FF, CH,29.2,29.419865
Karinchak James, CU, FF,28.3,28.280884
Keller Brad, SL, FF,25.9,25.847494
Keller Brad, SL, SI,27.9,27.529987
Keller Brad, SL, CH,20.0,20.465523
Keller Mitch, FF, SL,28.1,28.865236
Keller Mitch, FF, SI,22.1,22.335886
Keller Mitch, FF, CU,30.0,29.853783
Keller Mitch, FF, CH,21.6,22.235645
Kelley Trevor, SI, CU,26.9,26.983936
Kelly Joe, KC, SI,21.1,21.541424
Kelly Merrill, FF, CH,44.8,44.284885
Kelly Merrill, FF, FC,28.8,28.821054
Kelly Merrill, FF, SI,28.9,29.075811
Kelly Merrill, FF, CU,29.1,29.253826
