,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Taillon, Jameson's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,358,100.0%,72.3%,62.0%,13.4%,25.1%,33.8%,38.5%,18.5%,22.1%,40.0%,44.1%,81.0%,0.0%,0.0%
"Urías, Julio's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,358,100.0%,59.2%,52.0%,8.4%,37.4%,24.3%,45.8%,14.2%,24.3%,38.6%,54.5%,68.2%,0.0%,0.0%
"Bundy, Dylan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,355,100.0%,72.4%,63.1%,11.3%,25.1%,36.6%,36.3%,15.6%,28.7%,25.0%,56.3%,69.9%,0.0%,0.0%
"Eovaldi, Nathan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,354,100.0%,67.8%,59.6%,9.6%,28.8%,29.7%,38.4%,14.2%,24.6%,31.5%,54.5%,71.8%,0.0%,0.0%
"Wells, Tyler's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,354,100.0%,72.3%,64.4%,9.9%,24.3%,31.9%,34.2%,13.7%,25.7%,27.4%,48.3%,72.9%,0.0%,0.0%
"Quintana, José's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,351,100.0%,70.9%,60.4%,12.3%,24.5%,31.1%,36.8%,17.3%,16.2%,40.7%,39.6%,87.5%,0.0%,0.0%
"Cease, Dylan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,348,100.0%,69.5%,49.7%,21.3%,28.2%,22.7%,49.4%,30.6%,16.4%,107.8%,46.6%,95.1%,0.0%,0.0%
"Lynch, Daniel's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,347,100.0%,74.4%,64.0%,12.7%,21.9%,34.0%,34.6%,17.1%,17.9%,36.3%,51.9%,79.5%,0.0%,0.0%
"Alcantara, Sandy's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,346,100.0%,64.7%,61.0%,4.6%,31.2%,26.0%,35.8%,7.1%,20.2%,28.8%,51.2%,79.2%,0.0%,0.0%
"Greene, Hunter's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,346,100.0%,67.6%,51.7%,17.1%,29.5%,23.4%,46.5%,25.2%,20.5%,61.2%,48.6%,87.9%,0.0%,0.0%
"Woodruff, Brandon's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,346,100.0%,73.4%,57.2%,17.9%,21.7%,33.5%,39.6%,24.4%,14.5%,35.4%,56.1%,69.4%,0.0%,0.0%
"Keller, Mitch's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,345,100.0%,66.1%,56.2%,12.2%,27.5%,29.9%,39.7%,18.4%,18.3%,34.7%,48.4%,79.4%,0.0%,0.0%
"Greinke, Zack's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,341,100.0%,55.4%,47.8%,8.8%,39.9%,27.3%,48.7%,15.9%,27.6%,25.0%,53.7%,73.9%,0.0%,0.0%
"Ohtani, Shohei's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,339,100.0%,74.3%,62.5%,13.0%,21.5%,34.2%,34.5%,17.5%,17.7%,33.3%,59.0%,67.0%,0.0%,0.0%
"Skubal, Tarik's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,339,100.0%,70.5%,60.5%,12.7%,26.0%,28.0%,38.6%,18.0%,24.8%,32.5%,49.3%,76.7%,0.0%,0.0%
"Wisler, Matt's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,339,100.0%,72.6%,60.8%,12.7%,26.3%,30.1%,38.9%,17.5%,20.9%,34.3%,49.9%,82.3%,0.0%,0.0%
"Brieske, Beau's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,336,100.0%,71.7%,62.5%,11.3%,25.3%,35.7%,36.6%,15.8%,20.5%,25.6%,47.0%,82.4%,0.0%,0.0%
"Whitlock, Garrett's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,336,100.0%,67.6%,56.8%,13.7%,29.8%,27.7%,43.5%,20.3%,19.6%,34.6%,51.5%,74.7%,0.0%,0.0%
"Berríos, José's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,335,100.0%,68.4%,60.6%,9.6%,28.1%,29.9%,37.6%,14.0%,26.3%,33.3%,51.0%,78.8%,0.0%,0.0%
"Fedde, Erick's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,335,100.0%,60.6%,54.0%,7.8%,34.6%,25.7%,42.4%,12.8%,26.6%,32.5%,50.1%,90.4%,0.0%,0.0%
"Kelly, Merrill's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,335,100.0%,66.3%,54.3%,14.9%,30.1%,28.4%,45.1%,22.5%,23.6%,34.0%,47.8%,83.3%,0.0%,0.0%
"Mikolas, Miles's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,333,100.0%,71.8%,59.5%,13.5%,24.6%,35.7%,38.1%,18.8%,22.2%,36.6%,47.7%,76.0%,0.0%,0.0%
"Wainwright, Adam's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,333,100.0%,57.4%,55.0%,3.3%,39.9%,24.6%,43.2%,5.8%,26.7%,38.5%,50.2%,81.7%,0.0%,0.0%
"Williams, Trevor's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,332,100.0%,72.0%,62.0%,11.7%,25.9%,30.1%,37.7%,16.3%,24.4%,35.6%,49.4%,74.7%,0.0%,0.0%
"Ray, Robbie's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,329,100.0%,78.4%,61.4%,18.2%,18.5%,28.3%,36.8%,23.3%,17.6%,79.4%,47.1%,82.1%,0.0%,0.0%
"Keller, Brad's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,328,100.0%,69.8%,63.1%,7.0%,28.0%,25.9%,35.1%,10.0%,20.4%,60.0%,51.8%,75.3%,0.0%,0.0%
"Irvin, Cole's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,326,100.0%,73.9%,62.6%,13.8%,22.7%,33.4%,36.5%,18.7%,19.6%,48.5%,53.7%,76.7%,0.0%,0.0%
"Wood, Alex's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,326,100.0%,62.9%,54.9%,8.9%,34.7%,26.1%,43.6%,14.1%,20.2%,43.3%,50.0%,83.4%,0.0%,0.0%
"Keller, Brad's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,325,100.0%,72.6%,65.2%,8.6%,23.7%,31.1%,32.3%,11.9%,16.9%,37.6%,47.4%,88.0%,0.0%,0.0%
"Detmers, Reid's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,324,100.0%,69.8%,58.6%,13.6%,27.8%,31.8%,41.4%,19.5%,21.6%,40.5%,51.9%,84.0%,0.0%,0.0%
