,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Adon, Joan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,26,100.0%,65.4%,53.8%,11.5%,30.8%,46.2%,42.3%,17.6%,23.1%,40.0%,30.8%,115.4%,0.0%,0.0%
"Almonte, Yency's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,26,100.0%,69.2%,65.4%,3.8%,26.9%,26.9%,30.8%,5.6%,19.2%,20.0%,34.6%,76.9%,0.0%,0.0%
"Arano, Víctor's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,26,100.0%,69.2%,46.2%,23.1%,19.2%,30.8%,42.3%,33.3%,15.4%,87.5%,34.6%,80.8%,0.0%,0.0%
"Barraclough, Kyle's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,26,100.0%,73.1%,53.8%,19.2%,26.9%,11.5%,46.2%,26.3%,26.9%,62.5%,61.5%,65.4%,0.0%,0.0%
"Cabrera, Edward's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,26,100.0%,46.2%,38.5%,11.5%,46.2%,26.9%,57.7%,25.0%,26.9%,100.0%,50.0%,80.8%,0.0%,0.0%
"Castro, Miguel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,26,100.0%,80.8%,50.0%,30.8%,15.4%,19.2%,46.2%,38.1%,11.5%,80.0%,30.8%,138.5%,0.0%,0.0%
"Chapman, Aroldis's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,26,100.0%,73.1%,50.0%,23.1%,19.2%,23.1%,42.3%,31.6%,15.4%,46.2%,34.6%,88.5%,0.0%,0.0%
"Diaz, Jhonathan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,26,100.0%,65.4%,65.4%,7.7%,30.8%,23.1%,38.5%,11.8%,11.5%,66.7%,53.8%,100.0%,0.0%,0.0%
"Diaz, Jhonathan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,26,100.0%,50.0%,50.0%,0.0%,46.2%,15.4%,46.2%,0.0%,19.2%,0.0%,46.2%,96.2%,0.0%,0.0%
"Doolittle, Sean's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,26,100.0%,76.9%,57.7%,19.2%,23.1%,30.8%,42.3%,25.0%,26.9%,71.4%,69.2%,50.0%,0.0%,0.0%
"Fletcher, Aaron's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,26,100.0%,76.9%,57.7%,19.2%,23.1%,15.4%,42.3%,25.0%,15.4%,33.3%,30.8%,107.7%,0.0%,0.0%
"Garcia, Yimi's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,26,100.0%,69.2%,69.2%,3.8%,23.1%,42.3%,26.9%,5.6%,34.6%,0.0%,23.1%,150.0%,0.0%,0.0%
"Hendrix, Ryan's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,26,100.0%,61.5%,38.5%,26.9%,38.5%,11.5%,65.4%,43.8%,23.1%,100.0%,46.2%,88.5%,0.0%,0.0%
"Keuchel, Dallas's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,26,100.0%,65.4%,61.5%,3.8%,30.8%,23.1%,34.6%,5.9%,15.4%,14.3%,34.6%,100.0%,0.0%,0.0%
"Lakins Sr., Travis's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,26,100.0%,80.8%,73.1%,7.7%,19.2%,30.8%,26.9%,9.5%,7.7%,12.5%,50.0%,69.2%,0.0%,0.0%
"Marte, Jose's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,26,100.0%,65.4%,50.0%,15.4%,34.6%,26.9%,50.0%,23.5%,23.1%,62.5%,61.5%,76.9%,0.0%,0.0%
"Martin, Chris's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,26,100.0%,76.9%,73.1%,3.8%,23.1%,34.6%,26.9%,5.0%,30.8%,33.3%,50.0%,107.7%,0.0%,0.0%
"Patton, Spencer's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,26,100.0%,73.1%,53.8%,19.2%,23.1%,34.6%,42.3%,26.3%,19.2%,14.3%,26.9%,107.7%,0.0%,0.0%
"Pérez, Oliver's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,26,100.0%,65.4%,61.5%,3.8%,23.1%,15.4%,26.9%,5.9%,19.2%,20.0%,65.4%,73.1%,0.0%,0.0%
"Quantrill, Cal's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,26,100.0%,61.5%,57.7%,7.7%,38.5%,38.5%,46.2%,12.5%,34.6%,0.0%,61.5%,80.8%,0.0%,0.0%
"Rodriguez, Elvin's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,26,100.0%,76.9%,65.4%,11.5%,15.4%,23.1%,26.9%,15.0%,0.0%,50.0%,26.9%,96.2%,0.0%,0.0%
"Young, Danny's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,26,100.0%,57.7%,46.2%,11.5%,38.5%,19.2%,50.0%,20.0%,26.9%,28.6%,73.1%,38.5%,0.0%,0.0%
"Bello, Brayan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,25,100.0%,64.0%,44.0%,20.0%,32.0%,20.0%,52.0%,31.3%,16.0%,100.0%,40.0%,88.0%,0.0%,0.0%
"Duarte, Daniel's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,25,100.0%,72.0%,64.0%,8.0%,24.0%,44.0%,32.0%,11.1%,24.0%,11.1%,60.0%,60.0%,0.0%,0.0%
"Effross, Scott's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,25,100.0%,44.0%,40.0%,4.0%,48.0%,28.0%,52.0%,9.1%,16.0%,72.7%,32.0%,104.0%,0.0%,0.0%
"Elder, Bryce's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,25,100.0%,88.0%,68.0%,20.0%,12.0%,16.0%,32.0%,22.7%,0.0%,28.6%,24.0%,124.0%,0.0%,0.0%
"Finnegan, Kyle's FS",3065 pitches for 778 pitchers,Split-finger (FS),Pitcher Pitch,25,100.0%,76.0%,68.0%,12.0%,24.0%,16.0%,36.0%,15.8%,8.0%,27.3%,56.0%,80.0%,0.0%,0.0%
"Graveman, Kendall's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,25,100.0%,84.0%,60.0%,24.0%,16.0%,36.0%,40.0%,28.6%,8.0%,58.3%,52.0%,96.0%,0.0%,0.0%
"Johnson, Pierce's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,25,100.0%,76.0%,56.0%,20.0%,20.0%,44.0%,40.0%,26.3%,12.0%,50.0%,40.0%,104.0%,0.0%,0.0%
"Kelley, Trevor's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,25,100.0%,76.0%,72.0%,4.0%,24.0%,40.0%,28.0%,5.3%,20.0%,85.7%,40.0%,128.0%,0.0%,0.0%
"Kelly, Michael's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,25,100.0%,56.0%,44.0%,12.0%,40.0%,32.0%,52.0%,21.4%,28.0%,37.5%,44.0%,92.0%,0.0%,0.0%
"Koenig, Jared's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,25,100.0%,80.0%,72.0%,8.0%,20.0%,20.0%,28.0%,10.0%,8.0%,80.0%,52.0%,116.0%,0.0%,0.0%
"López, Reynaldo's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,25,100.0%,48.0%,44.0%,4.0%,48.0%,20.0%,52.0%,8.3%,40.0%,50.0%,44.0%,76.0%,0.0%,0.0%
"Lynch, Daniel's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,25,100.0%,40.0%,36.0%,4.0%,48.0%,16.0%,52.0%,10.0%,60.0%,0.0%,48.0%,84.0%,0.0%,0.0%
"Lynn, Lance's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,25,100.0%,84.0%,72.0%,12.0%,16.0%,28.0%,28.0%,14.3%,16.0%,100.0%,44.0%,124.0%,0.0%,0.0%
"Martin, Corbin's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,25,100.0%,64.0%,52.0%,12.0%,28.0%,8.0%,40.0%,18.8%,20.0%,22.2%,44.0%,84.0%,0.0%,0.0%
"Martínez, Adrián's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,25,100.0%,52.0%,36.0%,16.0%,44.0%,20.0%,60.0%,30.8%,28.0%,40.0%,24.0%,124.0%,0.0%,0.0%
"Miley, Wade's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,25,100.0%,68.0%,52.0%,16.0%,32.0%,16.0%,48.0%,23.5%,24.0%,66.7%,36.0%,116.0%,0.0%,0.0%
"Miley, Wade's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,25,100.0%,52.0%,48.0%,8.0%,40.0%,24.0%,48.0%,15.4%,32.0%,14.3%,40.0%,88.0%,0.0%,0.0%
"Montero, Rafael's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,25,100.0%,44.0%,36.0%,8.0%,56.0%,12.0%,64.0%,18.2%,48.0%,75.0%,56.0%,144.0%,0.0%,0.0%
"Murphy, Patrick's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,25,100.0%,76.0%,64.0%,12.0%,16.0%,40.0%,28.0%,15.8%,16.0%,0.0%,52.0%,80.0%,0.0%,0.0%
"Neidert, Nick's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,25,100.0%,60.0%,56.0%,4.0%,32.0%,20.0%,36.0%,6.7%,20.0%,42.9%,52.0%,72.0%,0.0%,0.0%
"Pepiot, Ryan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,25,100.0%,60.0%,52.0%,8.0%,32.0%,24.0%,40.0%,13.3%,8.0%,54.5%,44.0%,136.0%,0.0%,0.0%
"Sands, Cole's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,25,100.0%,76.0%,64.0%,12.0%,20.0%,20.0%,32.0%,15.8%,12.0%,25.0%,28.0%,116.0%,0.0%,0.0%
"Senzatela, Antonio's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,25,100.0%,72.0%,68.0%,4.0%,28.0%,20.0%,32.0%,5.6%,20.0%,100.0%,36.0%,140.0%,0.0%,0.0%
"Strickland, Hunter's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,25,100.0%,72.0%,72.0%,0.0%,24.0%,28.0%,24.0%,0.0%,12.0%,0.0%,64.0%,76.0%,0.0%,0.0%
"Vieaux, Cam's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,25,100.0%,64.0%,44.0%,28.0%,24.0%,16.0%,52.0%,43.8%,12.0%,45.5%,44.0%,92.0%,0.0%,0.0%
"Weaver, Luke's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,25,100.0%,80.0%,68.0%,12.0%,20.0%,24.0%,32.0%,15.0%,8.0%,175.0%,44.0%,116.0%,0.0%,0.0%
"Alberto, Hanser's FA",3065 pitches for 778 pitchers,Other Pitch,Pitcher Pitch,24,100.0%,79.2%,79.2%,0.0%,20.8%,41.7%,20.8%,0.0%,16.7%,0.0%,33.3%,112.5%,0.0%,0.0%
"Allard, Kolby's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,24,100.0%,83.3%,75.0%,8.3%,12.5%,20.8%,20.8%,10.0%,12.5%,50.0%,58.3%,87.5%,0.0%,0.0%
"Ashby, Aaron's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,24,100.0%,83.3%,75.0%,8.3%,12.5%,37.5%,20.8%,10.0%,8.3%,10.0%,58.3%,75.0%,0.0%,0.0%
"Beede, Tyler's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,24,100.0%,41.7%,33.3%,8.3%,54.2%,12.5%,62.5%,20.0%,45.8%,42.9%,50.0%,112.5%,0.0%,0.0%
"Blach, Ty's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,24,100.0%,62.5%,54.2%,8.3%,25.0%,12.5%,33.3%,13.3%,33.3%,33.3%,33.3%,120.8%,0.0%,0.0%
"Blackburn, Paul's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,24,100.0%,75.0%,58.3%,25.0%,25.0%,16.7%,50.0%,33.3%,20.8%,83.3%,50.0%,87.5%,0.0%,0.0%
"Brieske, Beau's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,24,100.0%,87.5%,83.3%,4.2%,8.3%,41.7%,12.5%,4.8%,16.7%,66.7%,50.0%,116.7%,0.0%,0.0%
"Burke, Brock's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,24,100.0%,54.2%,45.8%,8.3%,45.8%,20.8%,54.2%,15.4%,37.5%,66.7%,50.0%,66.7%,0.0%,0.0%
"Carrasco, Carlos's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,24,100.0%,12.5%,12.5%,0.0%,87.5%,8.3%,87.5%,0.0%,83.3%,400.0%,37.5%,112.5%,0.0%,0.0%
"Castano, Daniel's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,24,100.0%,79.2%,75.0%,4.2%,20.8%,20.8%,25.0%,5.3%,12.5%,27.3%,25.0%,150.0%,0.0%,0.0%
"Dugger, Robert's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,24,100.0%,75.0%,66.7%,8.3%,20.8%,41.7%,29.2%,11.1%,20.8%,200.0%,37.5%,104.2%,0.0%,0.0%
"Gaddis, Hunter's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,24,100.0%,70.8%,66.7%,8.3%,25.0%,20.8%,33.3%,11.8%,4.2%,25.0%,45.8%,100.0%,0.0%,0.0%
"Gibaut, Ian's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,24,100.0%,66.7%,50.0%,20.8%,33.3%,25.0%,54.2%,31.3%,12.5%,50.0%,62.5%,75.0%,0.0%,0.0%
"Kennedy, Ian's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,24,100.0%,87.5%,54.2%,33.3%,8.3%,33.3%,41.7%,38.1%,8.3%,46.7%,25.0%,112.5%,0.0%,0.0%
"Lange, Alex's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,24,100.0%,79.2%,50.0%,29.2%,20.8%,8.3%,50.0%,36.8%,4.2%,233.3%,33.3%,162.5%,0.0%,0.0%
"Lawrence, Casey's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,24,100.0%,58.3%,58.3%,4.2%,37.5%,41.7%,41.7%,7.1%,29.2%,71.4%,66.7%,75.0%,0.0%,0.0%
"Lynn, Lance's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,24,100.0%,66.7%,58.3%,8.3%,29.2%,16.7%,37.5%,12.5%,16.7%,64.3%,45.8%,87.5%,0.0%,0.0%
"Mazza, Chris's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,24,100.0%,83.3%,75.0%,8.3%,16.7%,25.0%,25.0%,10.0%,20.8%,33.3%,54.2%,62.5%,0.0%,0.0%
"Rodríguez, Joely's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,24,100.0%,41.7%,29.2%,16.7%,41.7%,12.5%,58.3%,40.0%,16.7%,112.5%,50.0%,91.7%,0.0%,0.0%
"Sánchez, Cristopher's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,24,100.0%,54.2%,45.8%,8.3%,45.8%,8.3%,54.2%,15.4%,20.8%,50.0%,37.5%,100.0%,0.0%,0.0%
"Smith, Drew's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,24,100.0%,41.7%,37.5%,4.2%,54.2%,16.7%,58.3%,10.0%,54.2%,0.0%,33.3%,91.7%,0.0%,0.0%
"Trivino, Lou's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,24,100.0%,70.8%,58.3%,12.5%,25.0%,25.0%,37.5%,17.6%,8.3%,66.7%,37.5%,100.0%,0.0%,0.0%
"Ureña, José's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,24,100.0%,75.0%,58.3%,20.8%,20.8%,25.0%,41.7%,27.8%,12.5%,20.0%,58.3%,145.8%,0.0%,0.0%
"VerHagen, Drew's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,24,100.0%,75.0%,37.5%,37.5%,20.8%,20.8%,58.3%,50.0%,12.5%,42.9%,33.3%,108.3%,0.0%,0.0%
"Wisler, Matt's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,24,100.0%,37.5%,33.3%,4.2%,37.5%,20.8%,41.7%,11.1%,33.3%,0.0%,41.7%,91.7%,0.0%,0.0%
"Abreu, Albert's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,23,100.0%,69.6%,52.2%,17.4%,30.4%,26.1%,47.8%,25.0%,26.1%,100.0%,30.4%,126.1%,0.0%,0.0%
"Adon, Joan's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,23,100.0%,69.6%,65.2%,8.7%,13.0%,13.0%,21.7%,12.5%,8.7%,87.5%,30.4%,134.8%,0.0%,0.0%
"Brault, Steven's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,23,100.0%,60.9%,52.2%,13.0%,34.8%,26.1%,47.8%,21.4%,13.0%,0.0%,47.8%,78.3%,0.0%,0.0%
"Brooks, Aaron's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,23,100.0%,65.2%,65.2%,0.0%,30.4%,8.7%,30.4%,0.0%,13.0%,20.0%,47.8%,65.2%,0.0%,0.0%
"Cisnero, José's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,23,100.0%,60.9%,47.8%,13.0%,34.8%,30.4%,47.8%,21.4%,30.4%,16.7%,43.5%,121.7%,0.0%,0.0%
"Civale, Aaron's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,78.3%,73.9%,4.3%,17.4%,39.1%,21.7%,5.6%,17.4%,22.2%,39.1%,95.7%,0.0%,0.0%
"Coulombe, Danny's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,87.0%,60.9%,34.8%,13.0%,43.5%,47.8%,40.0%,21.7%,55.6%,56.5%,82.6%,0.0%,0.0%
"Crawford, Kutter's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,82.6%,69.6%,13.0%,13.0%,34.8%,26.1%,15.8%,17.4%,100.0%,47.8%,104.3%,0.0%,0.0%
"Davidson, Tucker's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,23,100.0%,69.6%,60.9%,8.7%,30.4%,21.7%,39.1%,12.5%,26.1%,66.7%,39.1%,95.7%,0.0%,0.0%
"DeSclafani, Anthony's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,23,100.0%,56.5%,56.5%,4.3%,39.1%,17.4%,43.5%,7.7%,21.7%,0.0%,52.2%,69.6%,0.0%,0.0%
"Diehl, Phillip's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,52.2%,52.2%,4.3%,43.5%,26.1%,47.8%,8.3%,26.1%,40.0%,52.2%,78.3%,0.0%,0.0%
"Falter, Bailey's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,23,100.0%,73.9%,69.6%,4.3%,26.1%,21.7%,30.4%,5.9%,21.7%,0.0%,30.4%,95.7%,0.0%,0.0%
"Gilbert, Tyler's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,23,100.0%,47.8%,39.1%,8.7%,47.8%,13.0%,56.5%,18.2%,30.4%,30.0%,30.4%,104.3%,0.0%,0.0%
"Gott, Trevor's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,23,100.0%,34.8%,34.8%,0.0%,60.9%,8.7%,60.9%,0.0%,34.8%,80.0%,56.5%,87.0%,0.0%,0.0%
"Hjelle, Sean's KC",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,23,100.0%,87.0%,73.9%,13.0%,13.0%,39.1%,26.1%,15.0%,13.0%,66.7%,43.5%,100.0%,0.0%,0.0%
"Irvin, Cole's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,52.2%,43.5%,8.7%,43.5%,21.7%,52.2%,16.7%,26.1%,0.0%,30.4%,104.3%,0.0%,0.0%
"Kilian, Caleb's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,23,100.0%,87.0%,82.6%,4.3%,4.3%,56.5%,8.7%,5.0%,26.1%,14.3%,47.8%,82.6%,0.0%,0.0%
"Knehr, Reiss's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,65.2%,65.2%,0.0%,34.8%,34.8%,34.8%,0.0%,26.1%,14.3%,52.2%,60.9%,0.0%,0.0%
"Liberatore, Matthew's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,23,100.0%,73.9%,52.2%,21.7%,26.1%,26.1%,47.8%,29.4%,4.3%,0.0%,39.1%,95.7%,0.0%,0.0%
"Liberatore, Matthew's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,82.6%,73.9%,8.7%,17.4%,43.5%,26.1%,10.5%,13.0%,60.0%,47.8%,108.7%,0.0%,0.0%
"López, Pablo's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,23,100.0%,52.2%,34.8%,17.4%,43.5%,13.0%,60.9%,33.3%,26.1%,157.1%,26.1%,126.1%,0.0%,0.0%
"May, Trevor's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,52.2%,43.5%,8.7%,47.8%,13.0%,56.5%,16.7%,26.1%,100.0%,39.1%,100.0%,0.0%,0.0%
"McGee, Jake's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,65.2%,56.5%,8.7%,34.8%,26.1%,43.5%,13.3%,26.1%,36.4%,34.8%,113.0%,0.0%,0.0%
"Meyer, Max's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,23,100.0%,82.6%,78.3%,4.3%,17.4%,30.4%,21.7%,5.3%,17.4%,50.0%,65.2%,47.8%,0.0%,0.0%
"Oviedo, Johan's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,23,100.0%,65.2%,52.2%,13.0%,26.1%,26.1%,39.1%,20.0%,13.0%,80.0%,39.1%,100.0%,0.0%,0.0%
"Paddack, Chris's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,23,100.0%,69.6%,56.5%,13.0%,30.4%,8.7%,43.5%,18.8%,13.0%,33.3%,56.5%,100.0%,0.0%,0.0%
"Sale, Chris's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,23,100.0%,47.8%,43.5%,4.3%,52.2%,34.8%,56.5%,9.1%,21.7%,16.7%,60.9%,56.5%,0.0%,0.0%
"Sanchez, Aaron's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,23,100.0%,78.3%,69.6%,8.7%,17.4%,21.7%,26.1%,11.1%,8.7%,37.5%,34.8%,139.1%,0.0%,0.0%
"Sánchez, Cristopher's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,23,100.0%,73.9%,69.6%,4.3%,17.4%,30.4%,21.7%,5.9%,17.4%,10.0%,47.8%,82.6%,0.0%,0.0%
"Seabold, Connor's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,23,100.0%,87.0%,56.5%,30.4%,13.0%,8.7%,43.5%,35.0%,8.7%,66.7%,47.8%,73.9%,0.0%,0.0%
"Suarez, Robert's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,23,100.0%,52.2%,47.8%,4.3%,34.8%,21.7%,39.1%,8.3%,34.8%,,52.2%,47.8%,0.0%,0.0%
"Vespi, Nick's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,23,100.0%,47.8%,43.5%,4.3%,52.2%,8.7%,56.5%,9.1%,34.8%,28.6%,60.9%,60.9%,0.0%,0.0%
"Vest, Will's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,23,100.0%,91.3%,73.9%,17.4%,8.7%,17.4%,26.1%,19.0%,,71.4%,34.8%,104.3%,0.0%,0.0%
"Allard, Kolby's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,22,100.0%,68.2%,40.9%,27.3%,31.8%,4.5%,59.1%,40.0%,27.3%,100.0%,54.5%,72.7%,0.0%,0.0%
"Blanco, Ronel's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,22,100.0%,95.5%,86.4%,9.1%,4.5%,45.5%,13.6%,9.5%,18.2%,25.0%,54.5%,72.7%,0.0%,0.0%
"Brieske, Beau's CU",3065 pitches for 778 pitchers,Curve (CU/KC),Pitcher Pitch,22,100.0%,50.0%,50.0%,0.0%,40.9%,13.6%,40.9%,0.0%,40.9%,0.0%,59.1%,90.9%,0.0%,0.0%
"Brooks, Aaron's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,22,100.0%,54.5%,45.5%,9.1%,36.4%,27.3%,45.5%,16.7%,31.8%,16.7%,36.4%,81.8%,0.0%,0.0%
"Cabrera, Edward's SL",3065 pitches for 778 pitchers,Slider (SL),Pitcher Pitch,22,100.0%,40.9%,40.9%,0.0%,54.5%,18.2%,54.5%,0.0%,22.7%,71.4%,40.9%,90.9%,0.0%,0.0%
"Castro, Kervin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,22,100.0%,68.2%,63.6%,4.5%,31.8%,54.5%,36.4%,6.7%,31.8%,0.0%,40.9%,104.5%,0.0%,0.0%
"Cortes Jr., Néstor's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,22,100.0%,68.2%,54.5%,22.7%,27.3%,31.8%,50.0%,33.3%,,57.9%,45.5%,113.6%,0.0%,0.0%
"Gallegos, Giovanny's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,22,100.0%,81.8%,59.1%,22.7%,13.6%,27.3%,36.4%,27.8%,0.0%,0.0%,59.1%,72.7%,0.0%,0.0%
"González, Chi Chi's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,22,100.0%,68.2%,54.5%,13.6%,27.3%,22.7%,40.9%,20.0%,13.6%,66.7%,40.9%,95.5%,0.0%,0.0%
"Gore, MacKenzie's CH",3065 pitches for 778 pitchers,Change-up (CH),Pitcher Pitch,22,100.0%,68.2%,54.5%,13.6%,31.8%,27.3%,45.5%,20.0%,9.1%,50.0%,36.4%,109.1%,0.0%,0.0%
